20090821,MSFT,23.93,24.42,23.77,24.41,690189
20090824,MSFT,24.37,24.7326,24.28,24.64,541808
20090825,MSFT,24.6,24.82,24.46,24.64,439802
20090826,MSFT,24.56,24.75,24.42,24.55,410790
20090827,MSFT,24.42,24.78,24.3,24.69,454956
20090828,MSFT,25.05,25.49,24.61,24.68,558079
20090831,MSFT,24.56,24.85,24.29,24.65,495971
20090901,MSFT,24.37,24.74,23.9,24,626084
20090902,MSFT,23.82,24.14,23.78,23.86,407712
20090903,MSFT,23.91,24.14,23.76,24.11,341203
20090904,MSFT,24.14,24.8001,24.08,24.62,449996
20090909,MSFT,24.72,24.95,24.665,24.78,499002
20090910,MSFT,24.79,25.05,24.65,25,462587
20090911,MSFT,24.92,25.17,24.81,24.86,543042
20090914,MSFT,24.65,25.09,24.64,25,428101
20090915,MSFT,24.95,25.27,24.86,25.2,447184
20090916,MSFT,25.25,25.35,24.95,25.2,500557
20090917,MSFT,25.06,25.38,25.06,25.3,424316
20090918,MSFT,25.46,25.48,25.1,25.26,680164
20090921,MSFT,25.1,25.37,25.1,25.3,288786
20090922,MSFT,25.42,25.82,25.29,25.77,613783
20090923,MSFT,25.92,26.25,25.64,25.71,606035
20090924,MSFT,25.89,26.11,25.66,25.94,563106
20090925,MSFT,25.68,25.82,25.52,25.55,501610
20090928,MSFT,25.6,26.16,25.6,25.83,443635
20090929,MSFT,25.9,25.96,25.69,25.75,390502
20090930,MSFT,25.75,25.99,25.38,25.72,635376
20091001,MSFT,25.39,25.47,24.8,24.88,759580
20091002,MSFT,24.5,25.09,24.43,24.96,512262
20091005,MSFT,24.97,25.06,24.52,24.64,604091
20091006,MSFT,24.7,25.21,24.655,25.11,487952
20091007,MSFT,24.97,25.18,24.88,25.1,384738
20091008,MSFT,25.435,25.9,25.22,25.67,605212
20091009,MSFT,25.56,25.79,25.46,25.55,395222
20091012,MSFT,25.65,25.89,25.55,25.72,291535
20091013,MSFT,25.56,25.94,25.52,25.81,377489
20091014,MSFT,26.13,26.2,25.82,25.96,453654
20091015,MSFT,25.93,26.71,25.9,26.71,656201
20091016,MSFT,26.47,26.63,26.1,26.5,565008
20091019,MSFT,26.54,26.58,26.25,26.36,481431
20091020,MSFT,26.37,26.51,25.94,26.37,546134
20091021,MSFT,26.43,26.75,26.39,26.58,616726
20091022,MSFT,26.55,26.72,26.13,26.59,615999
20091023,MSFT,29.05,29.35,27.88,28.02,2817609
20091026,MSFT,28.14,29.02,28.11,28.68,1241496
20091027,MSFT,28.73,28.88,28.44,28.59,696857
20091028,MSFT,28.16,28.77,27.95,28.02,735423
20091105,MSFT,28.55,28.74,28.28,28.47,526833
20091106,MSFT,28.32,28.63,28.2,28.52,389099
20091109,MSFT,28.6,29,28.53,28.99,575220
20091110,MSFT,28.88,29.28,28.81,29.01,658810
20091111,MSFT,29.07,29.3,29.02,29.12,496933
20091113,MSFT,29.46,29.79,29.37,29.63,530449
20091116,MSFT,29.58,29.8,29.37,29.54,541295
20091117,MSFT,29.5,30,29.47,30,756488
20091118,MSFT,29.99,30.14,29.81,30.11,594409
20091119,MSFT,29.98,30,29.7,29.78,519676
20091120,MSFT,29.67,29.77,29.43,29.62,426480
20091123,MSFT,29.74,30.01,29.7,29.94,418363
20091124,MSFT,29.94,29.99,29.75,29.91,373413
20091125,MSFT,29.82,29.86,29.58,29.79,320361
20091127,MSFT,29.01,29.39,28.75,29.22,293578
20091130,MSFT,29.08,29.45,29,29.41,441746
20091201,MSFT,29.5,30.05,29.41,30.01,499071
20091202,MSFT,29.88,29.99,29.65,29.78,363085
20091203,MSFT,29.78,30.2,29.76,29.83,430963
20091204,MSFT,30.04,30.37,29.83,29.98,588199
20091207,MSFT,29.71,30.08,29.68,29.79,380826
20091208,MSFT,29.51,29.74,29.38,29.57,374079
20091209,MSFT,29.33,29.81,29.25,29.71,447193
20091210,MSFT,29.67,29.96,29.66,29.87,459407
20091211,MSFT,29.94,30,29.79,29.85,437465
20091214,MSFT,29.91,30.16,29.9,30.11,346511
20091215,MSFT,29.88,30.21,29.88,30.02,494731
20091216,MSFT,30.08,30.41,30.04,30.1,557411
